Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
,30.0,24.0,25.7,8.2,15.5,,La Cabaña,Bocas del Toro
,30.0,23.0,26.1,1.2,16.0,,La Cabaña,Bocas del Toro
,29.0,23.1,25.9,1.1,10.2,,La Cabaña,Bocas del Toro
,29.2,23.8,25.8,2.3,12.6,,La Cabaña,Bocas del Toro
,29.5,22.9,25.7,1.7,10.0,,La Cabaña,Bocas del Toro
,30.0,23.1,25.7,0.3,7.9,,La Cabaña,Bocas del Toro
,29.1,23.2,25.5,1.6,15.3,,La Cabaña,Bocas del Toro
,28.9,23.2,25.1,4.2,13.5,,La Cabaña,Bocas del Toro
,30.0,22.7,26.2,0.0,8.3,,La Cabaña,Bocas del Toro
,29.0,24.5,26.5,0.7,9.2,,La Cabaña,Bocas del Toro
,30.0,24.1,26.6,0.1,8.8,,La Cabaña,Bocas del Toro
,30.0,23.7,26.6,1.2,8.2,,La Cabaña,Bocas del Toro
,30.0,23.9,26.1,3.5,10.1,,La Cabaña,Bocas del Toro
,31.0,22.9,25.6,2.5,8.5,,La Cabaña,Bocas del Toro
,29.0,23.3,26.0,0.3,9.6,,La Cabaña,Bocas del Toro
,30.0,23.7,26.5,0.6,11.5,,La Cabaña,Bocas del Toro
,30.0,24.7,26.3,2.1,16.7,,La Cabaña,Bocas del Toro
,29.0,23.7,25.9,3.0,15.6,,La Cabaña,Bocas del Toro
,28.3,24.1,25.8,1.1,13.1,,La Cabaña,Bocas del Toro
,29.5,23.3,25.6,0.6,13.0,,La Cabaña,Bocas del Toro
,28.0,23.6,25.3,4.0,13.4,,La Cabaña,Bocas del Toro
,29.7,23.3,25.5,3.4,15.8,,La Cabaña,Bocas del Toro
,30.0,23.1,25.5,2.4,16.4,,La Cabaña,Bocas del Toro
,31.0,24.4,26.8,2.5,14.4,,La Cabaña,Bocas del Toro
,30.0,24.4,26.5,3.7,13.5,,La Cabaña,Bocas del Toro
,29.0,23.4,25.7,4.1,14.6,,La Cabaña,Bocas del Toro
,26.3,24.1,25.1,5.5,13.0,,La Cabaña,Bocas del Toro
,28.0,24.4,25.6,8.1,15.3,,La Cabaña,Bocas del Toro
,29.0,23.0,24.8,8.9,15.9,,La Cabaña,Bocas del Toro
,30.0,22.5,25.8,0.3,15.6,,La Cabaña,Bocas del Toro
,30.0,23.4,25.9,2.6,16.8,,La Cabaña,Bocas del Toro
